type,code,name,addr,lat,lng
01,12852252,장수약국,"서울특별시 동대문구 이문로 135 1층 105호 (이문동, 아정오피스텔)",37.5987692,127.0613674
01,11812036,은하온누리약국,"서울특별시 동작구 사당로2가길 102 119호 (사당동, 사당자이아파트 상가)",37.4890499,126.9626169
01,41847679,해봄약국,"인천광역시 부평구 마장로324번길 8-15, 102호 (산곡동)",37.5062375,126.7040419
01,32804105,청호약국,강원도 고성군 현내면 한나루로 133 133,,
01,12854263,충정로조은약국,서울특별시 중구 중림로2길 6 1층 (중림동),37.5588609,126.9635714
03,5078200341,영해농협하나로마트축산점,경북 영덕군 축산면 도곡리 480-10,36.5096416,129.407178
01,37831291,쌍사약국,경상북도 포항시 남구 상대로 79 1층 (상도동),36.0152353,129.3557266
01,21836311,우이약국,부산광역시 해운대구 해운대로 403 103호 (우동),35.1681068,129.1403486
03,4048207308,황토현농협하나로마트소성점,전북 정읍시 소성면 보화리 181-2,35.5559582,126.7768347
01,36809781,나라약국,광주광역시 광산구 첨단중앙로 170 (쌍암동),35.2204414,126.8421186
01,21825211,대변약국,부산광역시 기장군 기장읍 기장해안로 581,35.2248772,129.2278762
01,31898076,큰사랑온누리약국,"경기도 화성시 동탄장지천5길 30-7, 102호 (장지동)",37.1593115,127.104456
01,31847935,영통중앙약국,"경기도 수원시 영통구 봉영로 1590 306호 (영통동, 밀레니엄프라자)",37.2527874,127.0734373
01,31845878,서림약국,"경기도 성남시 분당구 판교로 372 404일부호 (삼평동, 스타식스코아1)",37.4037132,127.1156875
01,12803715,주온누리약국,서울특별시 송파구 백제고분로 490 거보산업(주) 1층 (방이동),37.5139214,127.1148332
03,2248214367,문막농협하나로마트부론점,강원 원주시 부론면 법천시장길 42-2,37.208817,127.749412
01,37806441,엄마손약국,경상북도 칠곡군 북삼읍 금오대로 262,36.0687931,128.346752
01,36834238,선운포도약국,광주광역시 광산구 선운중앙로 46 1층 (선암동),35.1480868,126.7770489
01,31876129,당하메디칼약국,인천광역시 서구 청마로 163 (당하동),37.5919924,126.6765956
01,38836602,정약국,"경상남도 창원시 성산구 신촌로 108 1층 104호 (신촌동, 신촌메디컬빌딩)",35.1999767,128.6284807
01,21841021,편한이웃약국,부산광역시 해운대구 선수촌로 7 반여메디컬센터 102호 (반여동),35.1944428,129.1185153
01,31864309,새은혜약국,인천광역시 부평구 부흥로 285 (부평동),37.4988065,126.7237202
01,31816746,왕약국,경기도 안양시 동안구 관악대로 342 1층 (관양동),37.403407,126.960729
01,41813766,자연온누리약국,"경기도 화성시 동탄솔빛로 64 109호 (반송동, 가희프라자)",37.1941986,127.0746001
03,4078206763,순창농협하나로마트,전북 순창군 순창읍 남계리 227-5,35.3758563,127.1446963
01,34839020,큰사랑약국,충청남도 서산시 해미면 남문5로 13,36.7122337,126.5442483
01,36816337,한마음약국,광주광역시 광산구 손재로 1 (산정동),35.166864,126.8013799
01,34842233,조은약국,"대전광역시 유성구 계백로 927 1층 2101, 2102호 (원내동)",36.3008979,127.3266814
01,37843494,제일약국,경상북도 고령군 대가야읍 중앙로 21,35.7296874,128.2703469
01,11896230,착한약국,서울특별시 광진구 자양로 43 (자양동),37.5317358,127.0855432
01,36814334,열매약국,"광주광역시 서구 상일로 44-1, (쌍촌동, 정촌빌딩)",35.1595412,126.8633825
01,12809462,미래약국,서울특별시 송파구 오금로 518 3층 (거여동),37.4927985,127.1463662
01,36826871,새미래종로약국,광주광역시 북구 각화대로 22 (각화동),35.1811052,126.9330164
01,41806212,예담약국,"경기도 고양시 덕양구 행신로 268 1층 (행신동, 예담메디컬파워)",37.6189858,126.8447648
01,12866717,은평천사약국,"서울특별시 은평구 통일로 1034 1,2층 135,136,137,226,227호 (진관동, 은평스카이뷰자이)",37.6350853,126.9180011
01,31896880,대화약국,경기도 고양시 일산서구 중앙로 1559 씨티타워 103호 (대화동),37.675418,126.7482045
01,37829009,천일약국,대구광역시 서구 서대구로 188 (평리동),35.8747853,128.5552316
03,2268200928,강릉농협하나로마트사업소,"강원 강릉시 율곡로 2792 (성남동,농협)",37.7545085,128.9015088
01,41837479,따뜻한약국,"경기도 고양시 일산동구 중앙로1275번길 64 2(일부)층 (장항동, 홈플러스 일산점)",37.6590509,126.7688753
01,37833804,새조은약국,대구광역시 남구 명덕시장길 48 (대명동),35.8451829,128.5856888
